"arc_length","UMean_Magnitude"
0.0303219,6.21863
0.0303662,6.21861
0.0304105,6.21859
0.0304547,6.21856
0.030499,6.21854
0.0305432,6.21851
0.0305875,6.21849
0.0306318,6.21847
0.030676,6.21845
0.0307203,6.21843
0.0307646,6.2184
0.0308088,6.21838
0.0308531,6.21836
0.0308974,6.21834
0.0309416,6.21832
0.0309859,6.2183
0.0310302,6.21828
0.0310744,6.21826
0.0311187,6.21824
0.031163,6.21822
0.0312072,6.21821
0.0312515,6.21819
0.0312958,6.21817
0.03134,6.21815
0.0313843,6.21813
0.0314286,6.21812
0.0314728,6.2181
0.0315171,6.21808
0.0315614,6.21807
0.0316056,6.21805
0.0316499,6.21803
0.0316942,6.21802
0.0317384,6.218
0.0317827,6.21799
0.031827,6.21797
0.0318712,6.21796
0.0319155,6.21795
0.0319597,6.21793
0.032004,6.21792
0.0320483,6.21791
0.0320925,6.21789
0.0321368,6.21788
0.0321811,6.21787
0.0322253,6.21786
0.0322696,6.21784
0.0323139,6.21783
0.0323581,6.21782
0.0324024,6.21781
0.0324467,6.2178
0.0324909,6.21779
0.0325352,6.21778
0.0325795,6.21777
0.0326237,6.21776
0.032668,6.21775
0.0327123,6.21774
0.0327565,6.21773
0.0328008,6.21772
0.0328451,6.21771
0.0328893,6.2177
0.0329336,6.2177
0.0329779,6.21769
0.0330221,6.21768
0.0330664,6.21768
0.0331107,6.21767
0.0331549,6.21766
0.0331992,6.21765
0.0332435,6.21765
0.0332877,6.21764
0.033332,6.21763
0.0333762,6.21762
0.0334205,6.21761
0.0334648,6.2176
0.033509,6.2176
0.0335533,6.21759
0.0335976,6.21758
0.0336418,6.21758
0.0336861,6.21757
0.0337304,6.21756
0.0337746,6.21756
0.0338189,6.21755
0.0338632,6.21755
0.0339074,6.21754
0.0339517,6.21754
0.033996,6.21753
0.0340402,6.21753
0.0340845,6.21753
0.0341288,6.21752
0.034173,6.21751
0.0342173,6.2175
0.0342616,6.21749
0.0343058,6.21748
0.0343501,6.21747
0.0343944,6.21746
0.0344386,6.21745
0.0344829,6.21744
0.0345272,6.21744
0.0345714,6.21743
0.0346157,6.21742
0.0346599,6.21742
0.0347042,6.21741
0.0347485,6.2174
0.0347927,6.2174
0.034837,6.21739
0.0348813,6.21739
0.0349255,6.21738
0.0349698,6.21738
