"arc_length","X_VELOCITY"
0.123413,0.207133
0.123848,0.207133
0.124282,0.207195
0.124717,0.207195
0.125151,0.207195
0.125586,0.207195
0.12602,0.207195
0.126455,0.207195
0.12689,0.207195
0.127324,0.207351
0.127759,0.207351
0.128193,0.207351
0.128628,0.207351
0.129062,0.207351
0.129497,0.207351
0.129931,0.207351
0.130366,0.207594
0.1308,0.207594
0.131235,0.207594
0.13167,0.207594
0.132104,0.207594
0.132539,0.207594
0.132973,0.207594
0.133408,0.207812
0.133842,0.207812
0.134277,0.207812
0.134711,0.207812
0.135146,0.207812
0.135581,0.207812
0.136015,0.207812
0.13645,0.207872
0.136884,0.207872
0.137319,0.207872
0.137753,0.207872
0.138188,0.207872
0.138622,0.207872
0.139057,0.207872
0.139492,0.207871
0.139926,0.207871
0.140361,0.207871
0.140795,0.207871
0.14123,0.207871
0.141664,0.207871
0.142099,0.207871
0.142533,0.207739
0.142968,0.207739
0.143403,0.207739
0.143837,0.207739
0.144272,0.207739
0.144706,0.207739
0.145141,0.20728
0.145575,0.20728
0.14601,0.20728
0.146444,0.20728
0.146879,0.20728
0.147314,0.20728
0.147748,0.20728
0.148183,0.206661
0.148617,0.206661
0.149052,0.206661
0.149486,0.206661
0.149921,0.206661
0.150355,0.206661
0.15079,0.206661
0.151224,0.206035
0.151659,0.206035
0.152094,0.206035
0.152528,0.206035
0.152963,0.206035
0.153397,0.206035
0.153832,0.206035
0.154266,0.205567
0.154701,0.205567
0.155135,0.205567
0.15557,0.205567
0.156005,0.205567
0.156439,0.205567
0.156874,0.205567
0.157308,0.205313
0.157743,0.205313
0.158177,0.205313
0.158612,0.205313
0.159046,0.205313
0.159481,0.205313
0.159916,0.205313
0.16035,0.205288
0.160785,0.205288
0.161219,0.205288
0.161654,0.205288
0.162088,0.205288
0.162523,0.205288
0.162957,0.205288
0.163392,0.205421
0.163827,0.205421
0.164261,0.205421
0.164696,0.205421
0.16513,0.205421
0.165565,0.205421
0.165999,0.205421
0.166434,0.205603
0.166868,0.205603
0.167303,0.205603
0.167737,0.205603
0.168172,0.205603
0.168607,0.205603
0.169041,0.205603
0.169476,0.205752
0.16991,0.205752
0.170345,0.205752
0.170779,0.205752
0.171214,0.205752
0.171648,0.205752
0.172083,0.205752
0.172518,0.205733
0.172952,0.205733
0.173387,0.205733
0.173821,0.205733
0.174256,0.205733
0.17469,0.205733
0.175125,0.20554
0.175559,0.20554
0.175994,0.20554
0.176429,0.20554
0.176863,0.20554
0.177298,0.20554
0.177732,0.20554
0.178167,0.205211
0.178601,0.205211
0.179036,0.205211
0.17947,0.205211
0.179905,0.205211
0.18034,0.205211
0.180774,0.205211
0.181209,0.204873
0.181643,0.204873
0.182078,0.204873
0.182512,0.204873
0.182947,0.204873
0.183381,0.204873
0.183816,0.204873
0.184251,0.20455
0.184685,0.20455
0.18512,0.20455
0.185554,0.20455
0.185989,0.20455
0.186423,0.20455
0.186858,0.20455
0.187292,0.204247
0.187727,0.204247
0.188161,0.204247
0.188596,0.204247
0.189031,0.204247
0.189465,0.204247
0.1899,0.204247
0.190334,0.20404
0.190769,0.20404
0.191203,0.20404
0.191638,0.20404
0.192072,0.20404
0.192507,0.20404
0.192942,0.203946
0.193376,0.203946
0.193811,0.203946
0.194245,0.203946
0.19468,0.203946
0.195114,0.203946
0.195549,0.203946
0.195983,0.203904
0.196418,0.203904
0.196853,0.203904
0.197287,0.203904
0.197722,0.203904
0.198156,0.203904
0.198591,0.203904
0.199025,0.203737
0.19946,0.203737
